name,screen_name,description,followers_count,followers_count,friends_count,listed_count,favourites_count,created_at
jilly,JillNeustadt,lol,180,180,247,0,1912,Fri Aug 14 06:00:09 +0000 2015
juliet,julietgroberto,,18,18,129,0,7850,Sat Jan 20 22:07:08 +0000 2018
dav,WavyBoyBurtis,can the knicks win 30 games? will the giants be good next season? can the mets make the playoffs? can they cure my sports depression? find out next week on DBZ,665,665,384,11,44120,Sun Nov 10 04:58:14 +0000 2013
ananda,anandaxvincent,lacking shyness,65,65,128,0,858,Wed Apr 11 17:22:59 +0000 2018
Elijah,1111Azrael,son de dolor,4072,4072,910,25,16835,Tue Dec 06 18:28:18 +0000 2016
Jacob Tice,JacobTice7,"Hackers may take my account, but they will never take my freedom!",19,19,152,0,4,Wed Apr 29 22:37:45 +0000 2020
Baconandeggs,baconandeggs44,la mia vita è un pendolo che oscilla tra Sof-figa e Sof-ferenza,1,1,28,0,238,Sat May 25 15:49:30 +0000 2019
me kanse de ser buena onda🤡,picatosstes,H$O,112,112,239,0,3310,Mon Sep 23 13:03:37 +0000 2019
Timm🏍,NejiBror,,34,34,693,0,17608,Mon Feb 12 14:16:30 +0000 2018
TJ,tjmasino,it do not matter,207,207,199,7,4759,Thu Sep 23 22:37:10 +0000 2010
liyah | nsfr,acaibowI,"wanna get more high, wanna live my life",742,742,443,28,24909,Tue Aug 15 19:40:11 +0000 2017
Nick Talamantes,talamantes_nick,When he stands on his money he’s 6’6,6,6,122,0,240,Sat Apr 18 03:30:29 +0000 2020
Jojo siwa 🥳,johanjxs,👽I got pubic hair between my teeth,11,11,62,0,1660,Sat Jun 29 18:53:03 +0000 2019
akmal,cherrygecko,yes u r,394,394,304,1,22995,Wed Sep 05 08:00:00 +0000 2012
emanuel,emanueltlapuz,,259,259,264,0,412,Mon Mar 23 14:13:42 +0000 2020
natalia,nataliaporterf,,122,122,253,0,2133,Thu Jun 09 22:45:26 +0000 2011
cam,camnoell,seventeen. activist. views are my own. @sdanoblesville. she/they,37,37,156,0,1322,Tue Dec 31 02:35:30 +0000 2019
Trap Muzik,Channing53,i aint qualified to participate in music but im gonna anyway,5,5,249,0,1,Wed Apr 29 18:32:51 +0000 2020
♛ 𝐦𝐚𝐲𝐚 ♛,inmayashead,grandma stan finally got her groove back | ariana|billie|beyonce|whitney|black people in general,83,83,494,0,19,Tue Apr 28 18:29:27 +0000 2020
minna,Mean_genes,anyways,89,89,136,0,4696,Mon Jun 26 16:03:54 +0000 2017
paige,PaigeHogann,ucla gymnastics,146,146,195,2,5885,Sun Dec 01 20:21:01 +0000 2013
iris 🤮,taaayhv,givemesomespace:)),75,75,80,0,99,Sat Nov 02 07:57:26 +0000 2019
Jason Bielat,Biielat,Positivity. Music Nerd. Ocean Freak.,158,158,435,0,4433,Fri Jan 25 22:27:42 +0000 2019
Keishany,keishany_,💛,74,74,59,0,3274,Sun Feb 01 13:26:35 +0000 2015
quinn hagen,QuinnHagen,I like music and shit,3,3,73,0,300,Wed Dec 26 02:51:09 +0000 2018
Ginger Cam,OhGingerSnapped,unprofessional artist #entrepreneur your friendly neighborhood freckle face 🥰 connect with me! check out my insta: OhGingerSnapped,44,44,100,0,929,Sun Feb 23 22:42:06 +0000 2020
liam,lavishdliam,somewhere in my mind,137,137,152,0,399,Thu Jan 31 18:10:18 +0000 2019
ash✨🏳️‍🌈,dinaschalamet,i feel like this isn’t a good idea — @sonyacnh,91,91,213,0,37218,Tue Apr 10 23:15:19 +0000 2018
Gaby,gaby2kool4skewl,amos - gabylove109 :),9,9,62,0,37,Sun Feb 28 03:12:39 +0000 2016
Alexis,_Alexis_A_,24. Designer @nickelodeon. I used to be punk rock. 🐰 🌙,116,116,721,1,6066,Wed Sep 18 01:40:16 +0000 2013
jaylan,jayprobinette,🦋🌼🖤,0,0,24,0,0,Wed Apr 29 14:48:05 +0000 2020
ً,yukheikc,,1,1,18,0,11,Sun Mar 08 19:52:36 +0000 2020
dumb🦎,yulinghwtt,unleash your inner rat bastard 🐀,253,253,230,0,8080,Tue Oct 01 07:42:47 +0000 2019
chlo🦄,tyrantsandfuel,20 | just tryna live like Blair Waldorf x |  she/her 🐝 🌹💚🌍✨🔮☁️🏳️‍🌈,69,69,291,0,8840,Sun Nov 25 14:50:39 +0000 2018
Rishi,thraitor,,160,160,588,2,43776,Wed Apr 22 19:19:36 +0000 2015
Rayyan,Rayyan190520,idk how to think,23,23,393,0,837,Thu Oct 03 13:38:22 +0000 2019
Emanuel,babysvnchez,svnchez,15,15,41,0,22,Wed Oct 30 09:51:08 +0000 2019
Brandon Walberg,BrandonWalberg,university of nevada alum 🎓 aries ☀️ virgo 🌙,1325,1325,1395,6,37124,Mon Jul 13 22:55:30 +0000 2009
carl elsam,carl_elsam,prolly setting a timer for a power nap,675,675,319,2,11850,Wed Mar 26 03:59:29 +0000 2014
ЯO.,SWAGGYYYRo_,#LAkeshow⁠,390,390,314,2,28204,Fri Sep 10 04:03:55 +0000 2010
Achraf,Achraf43877861,T.H.M.G ❤️,3,3,24,0,0,Wed Apr 29 09:23:48 +0000 2020
tuff stuff,offbrandtwink,19 • he/him • frxddy,147,147,166,0,15494,Sun Jul 30 02:31:29 +0000 2017
