name,screen_name,description,followers_count,followers_count,friends_count,listed_count,favourites_count,created_at
24❤️,13lack13allon,,7,7,441,0,13365,Thu Nov 02 01:59:35 +0000 2017
babsy,fruitypussy2,spiritual moody bih,0,0,60,0,25,Wed Apr 29 20:36:54 +0000 2020
Thapelo Neo,ThapeloNeo5,"Soccer, Clothes, Music",18,18,148,0,1,Fri Apr 17 17:11:17 +0000 2020
Michael Musilla,MusillaMichael,,18,18,76,0,13,Wed Feb 08 11:17:32 +0000 2017
El Experto Dél FlyKick,delflykick,The Legend Returns,10,10,394,0,11,Wed Apr 29 16:13:41 +0000 2020
Myles Hunt,MylesHuntArt,Brooklyn Visual Artist: https://t.co/UHDDfEZwf2 and Writer - @punchland & @ImposeMagazine. Owner - @smylescreative,1118,1118,4224,81,7337,Tue Oct 14 15:44:04 +0000 2014
michela,_miche1ap,,442,442,159,1,2234,Sun Jan 09 20:54:30 +0000 2011
A03art,A03art1,not conforming to an ordinary type or pattern,6,6,90,0,0,Wed Apr 29 13:09:43 +0000 2020
ffion💕✨💗🧚🏽‍♀️,ffioneroberts,different gravy,1045,1045,281,0,2143,Fri Dec 22 13:35:46 +0000 2017
kim,kiimfuller,,1,1,16,0,16,Wed Apr 29 12:12:41 +0000 2020
Marlanda Dekine-Sapient Soul 🏳️‍🌈,SapientSoul,"spirit, love, & mind-gasms 🤯💦",742,742,1334,23,4339,Sat Oct 17 11:06:48 +0000 2009
Ewan,papaewan69,,20,20,370,0,1323,Thu Mar 19 22:32:51 +0000 2015
Loris Lowe,Loris_Lowe,"Austin City Limits Radio, KLBJ-FM DJ, Voiceover artist",732,732,769,12,11343,Fri Feb 22 18:11:43 +0000 2013
dalia,awe_dalia,spread more love 🍄 / bernie2020,13,13,83,0,22177,Mon Oct 12 10:36:09 +0000 2015
ella thompson,ella_thompsonx,,7,7,65,0,56,Tue Oct 08 22:49:01 +0000 2019
Harvey Williams,HarveyW64752252,,37,37,57,0,21,Sun May 13 19:18:09 +0000 2018
remi x,remijanex,,5,5,118,0,1765,Thu Jul 26 06:57:24 +0000 2018
rouven,rvclr,,7,7,88,0,6820,Thu Jun 29 18:28:25 +0000 2017
Loko’s Cool Music,LokoGuillaume,https://t.co/39uvTFgNgi,13,13,294,0,117,Sun Sep 22 09:33:44 +0000 2019
janet,jjordan083,"I love vintage anything, music, plants, my daughter, the beach & hummingbirds.",50,50,630,0,3419,Mon Sep 10 13:04:02 +0000 2012
Cyberf4ry,cyberf4ry,Just J0aNnA,9,9,19,0,4,Mon Apr 20 19:34:59 +0000 2020
Jordan Goodwin,GoodS_95,,439,439,626,4,3352,Mon Mar 05 21:02:06 +0000 2012
Lucy Peacock,lucymspeacock,my profile pic is of beetroot hummus,2,2,95,0,374,Sun Jan 27 20:57:40 +0000 2019
Louis Montalbo,docturorange,lone wolf,653,653,240,4,1394,Sun Mar 21 01:53:32 +0000 2010
a.m. 💀,headphonewearer,"I like pie, music with horns and banjos that don't belong, and Tennessee Williams. ♑ INTJ",409,409,560,2,3338,Tue Jun 08 02:33:54 +0000 2010
Irvine,nicktheprick_,,297,297,216,1,3065,Tue Jan 22 15:10:23 +0000 2013
Troy Rosewell,troyrosewell,Artwork on instagram @troyrosewell,69,69,63,0,274,Sat May 19 16:43:53 +0000 2012
Tom Suggitt,suggitt_tom,Leeds,16,16,78,0,9042,Fri Jan 13 17:30:16 +0000 2017
aidan,adnmulhern,,222,222,289,0,8170,Sat May 16 08:59:13 +0000 2015
theint !,watermelonfike,"good morning, good afternoon and good night to harry styles and dominic fike",4,4,59,0,44,Tue Oct 09 10:21:28 +0000 2018
Perc Cobain,PlayboiW33D,Caught a felony for raping a check,46,46,80,0,2644,Wed Mar 27 07:44:32 +0000 2019
